#      O         NLL         <E>      <|M|>
17.407545   18.335497   -1.979538   0.994097   
17.425347   18.338146   -1.980887   0.994435   
17.496691   18.382704   -1.984691   0.995386   
17.323098   18.309980   -1.983983   0.995208   
17.411269   18.336040   -1.979601   0.994113   
17.394071   18.327116   -1.976143   0.993248   
17.209195   18.289755   -1.981948   0.994309   
17.208372   18.289768   -1.984659   0.995378   
17.403477   18.334558   -1.981511   0.994513   
17.277061   18.303549   -1.981708   0.994640   
17.420677   18.337425   -1.985035   0.995471   
17.295519   18.308331   -1.981088   0.994485   
17.308793   18.311029   -1.983902   0.995159   
17.268869   18.302885   -1.973691   0.992635   
17.135142   18.215500   -1.991738   0.997147   
17.059805   18.072803   -1.982175   0.994756   
17.332290   18.312353   -1.988914   0.996441   
17.284841   18.305893   -1.985497   0.995587   
17.316343   18.309938   -1.979371   0.994055   
17.166800   18.221096   -1.977225   0.993519   
17.384917   18.333488   -1.980688   0.994349   
17.226356   18.283245   -1.987148   0.996000   
17.138514   18.217567   -1.978895   0.993937   
17.328803   18.317595   -1.969692   0.991636   
17.118458   18.207184   -1.978639   0.993834   
17.098214   18.203753   -1.983665   0.995129   
17.196935   18.255123   -1.968360   0.991303   
17.228705   18.285276   -1.986729   0.995895   
17.148337   18.216885   -1.983558   0.995102   
17.201512   18.255495   -1.987277   0.996032   
17.027851   18.068302   -1.982649   0.994875   
17.201306   18.255516   -1.988201   0.996263   
17.117348   18.198868   -1.984619   0.995368   
17.170717   18.221895   -1.983382   0.995058   
17.084385   18.192486   -1.981721   0.994643   
17.213488   18.263615   -1.981197   0.994512   
17.063882   18.072372   -1.976798   0.993412   
17.125753   18.200989   -1.979598   0.994112   
16.871918   17.868412   -1.984922   0.995370   
16.917853   17.890211   -1.983253   0.995026   
17.187934   18.230352   -1.974596   0.992862   
16.941548   17.893318   -1.981429   0.994570   
16.862146   17.847536   -1.978550   0.993850   
16.925903   17.892380   -1.989562   0.996603   
16.821992   17.835779   -1.979262   0.994028   
16.847953   17.844948   -1.977188   0.993510   
17.029127   17.947456   -1.981426   0.994569   
16.879744   17.851122   -1.976156   0.993252   
16.972752   17.925531   -1.980731   0.994395   
16.860885   17.849731   -1.982238   0.994772   
16.900745   17.860413   -1.982258   0.994777   
16.877395   17.849033   -1.973998   0.992712   
16.932445   17.864244   -1.975921   0.993193   
16.761833   17.795715   -1.977005   0.993439   
16.845804   17.844860   -1.983552   0.995101   
16.983537   17.928146   -1.983582   0.995108   
16.794109   17.802042   -1.979036   0.993972   
16.804249   17.804682   -1.978594   0.993861   
17.028134   17.946688   -1.980614   0.994366   
16.783504   17.799229   -1.984348   0.995300   
16.784431   17.799168   -1.984861   0.995428   
16.772989   17.765676   -1.988561   0.996353   
16.945212   17.895456   -1.981036   0.994472   
16.645219   17.698118   -1.977976   0.993707   
16.822596   17.832693   -1.979458   0.994077   
16.791886   17.768473   -1.989093   0.996486   
16.757532   17.762587   -1.981043   0.994474   
16.773416   17.765705   -1.975583   0.993108   
16.758824   17.762716   -1.971828   0.992170   
16.878092   17.840979   -1.983931   0.995196   
16.890906   17.856520   -1.980856   0.994427   
16.856536   17.839085   -1.978631   0.993871   
16.880638   17.848188   -1.984576   0.995357   
16.852613   17.805941   -1.980857   0.994427   
16.744927   17.747492   -1.985936   0.995697   
16.571354   17.660904   -1.975951   0.993201   
16.610463   17.667131   -1.981182   0.994508   
16.669922   17.709127   -1.983727   0.995144   
16.786390   17.759132   -1.971514   0.992091   
16.811258   17.776661   -1.969122   0.991493   
16.541938   17.532692   -1.976039   0.993223   
16.733328   17.746012   -1.987051   0.995976   
16.755424   17.747744   -1.984630   0.995365   
16.756333   17.747749   -1.986703   0.995889   
16.747220   17.747400   -1.982554   0.994810   
16.634787   17.676132   -1.989807   0.996665   
16.605858   17.666981   -1.974180   0.992758   
16.841754   17.810101   -1.980643   0.994007   
16.692658   17.685326   -1.981531   0.994596   
16.703951   17.716057   -1.980960   0.994453   
16.446915   17.391445   -1.990475   0.996832   
16.712100   17.723721   -1.981379   0.994558   
16.890484   17.851805   -1.975243   0.993024   
16.620740   17.662205   -1.978758   0.993902   
16.676206   17.682476   -1.982316   0.994792   
16.573384   17.653671   -1.978092   0.993736   
16.727820   17.724186   -1.987632   0.996121   
16.497502   17.398844   -1.970914   0.991941   
16.586422   17.655964   -1.979401   0.994063   
16.650872   17.678839   -1.990953   0.996951   
16.767494   17.737823   -1.985651   0.995625   
16.554449   17.415840   -1.974673   0.992881   
16.626987   17.667902   -1.984371   0.995306   
16.523904   17.408356   -1.980880   0.994433   
16.624163   17.667858   -1.988515   0.996342   
16.409756   17.348377   -1.974351   0.992552   
16.554962   17.413889   -1.973302   0.992534   
16.686194   17.682896   -1.985410   0.995565   
16.558310   17.414097   -1.979227   0.994020   
16.502349   17.392471   -1.982738   0.994874   
16.552206   17.420431   -1.983675   0.995132   
16.420009   17.323370   -1.982500   0.994821   
16.535764   17.410101   -1.980718   0.994392   
16.562519   17.421656   -1.988550   0.996350   
16.434560   17.324709   -1.989524   0.996594   
16.361160   17.308332   -1.982021   0.994617   
16.544405   17.411570   -1.983805   0.995164   
16.530583   17.409378   -1.984563   0.995354   
16.516395   17.406321   -1.982872   0.994881   
16.520090   17.406305   -1.979796   0.994162   
16.461977   17.359324   -1.982773   0.994906   
16.422254   17.323624   -1.980955   0.994452   
16.472560   17.367096   -1.986795   0.995912   
16.253264   17.279873   -1.985479   0.995583   
16.486560   17.369413   -1.973197   0.992512   
16.358015   17.300159   -1.959581   0.989108   
16.483959   17.369514   -1.980116   0.994242   
16.523400   17.381571   -1.980962   0.994453   
16.381148   17.303368   -1.985368   0.995555   
16.436632   17.332003   -1.980895   0.994437   
16.542678   17.413939   -1.978964   0.993954   
16.339457   17.297104   -1.976765   0.993404   
16.374294   17.301563   -1.984637   0.995372   
16.336191   17.297041   -1.988687   0.996385   
16.411808   17.320822   -1.988070   0.996230   
16.305637   17.295126   -1.981297   0.994430   
16.407436   17.318640   -1.981762   0.994653   
16.300832   17.294647   -1.982001   0.994713   
16.324042   17.296320   -1.979260   0.994028   
16.331723   17.296585   -1.974125   0.992744   
16.413816   17.322563   -1.970446   0.991824   
16.437612   17.324400   -1.990118   0.996742   
16.325079   17.294209   -1.973454   0.992547   
16.355360   17.307686   -1.981827   0.994670   
16.345937   17.304960   -1.980365   0.994304   
16.447607   17.384897   -1.977428   0.993570   
16.339281   17.303028   -1.983296   0.995037   
16.385574   17.319193   -1.980277   0.994282   
16.394786   17.319571   -1.972630   0.992370   
16.392290   17.319384   -1.986506   0.995839   
16.328005   17.295645   -1.988326   0.996294   
16.292259   17.289600   -1.985292   0.995536   
16.383874   17.346867   -1.981629   0.994620   
16.373854   17.338676   -1.987923   0.996193   
16.238290   17.248356   -1.974880   0.992933   
16.272628   17.288494   -1.975818   0.993167   
16.224490   17.245199   -1.989164   0.996504   
16.231568   17.247784   -1.981116   0.994492   
16.230521   17.247656   -1.982958   0.994952   
16.202402   17.241796   -1.986920   0.995943   
16.270491   17.259983   -1.967957   0.991202   
16.267402   17.260120   -1.991711   0.997141   
16.214669   17.242893   -1.977810   0.993665   
16.179110   17.201260   -1.986510   0.995840   
16.245934   17.249054   -1.979699   0.994137   
16.201854   17.235727   -1.980976   0.994457   
16.191402   17.203640   -1.984659   0.995373   
16.174972   17.202332   -1.982942   0.994948   
16.137671   17.193945   -1.987723   0.996144   
16.108624   17.057074   -1.985173   0.995506   
16.100356   17.056484   -1.990704   0.996889   
16.069959   17.043324   -1.979553   0.994101   
16.113150   17.057356   -1.980654   0.994376   
16.090419   17.052561   -1.993427   0.997569   
16.094807   17.052732   -1.986981   0.995958   
16.045057   16.910408   -1.988766   0.996404   
16.081055   17.051304   -1.985611   0.995616   
16.100881   17.056480   -1.976826   0.993419   
16.100502   17.056244   -1.981673   0.994631   
16.121160   17.058052   -1.982152   0.994751   
16.026940   16.905628   -1.981949   0.994700   
16.046196   16.910444   -1.987009   0.995965   
16.060785   16.913116   -1.987837   0.996172   
16.076120   17.044590   -1.976884   0.993434   
16.003476   16.895912   -1.981541   0.994597   
15.989208   16.865791   -1.977370   0.993555   
16.044377   16.910242   -1.968587   0.991360   
15.922245   16.816973   -1.986359   0.995803   
15.939202   16.826212   -1.969219   0.991518   
15.965335   16.860657   -1.973782   0.992658   
15.866921   16.793394   -1.973720   0.992643   
15.885702   16.804388   -1.973424   0.992569   
15.838828   16.789297   -1.981566   0.994604   
15.939364   16.818081   -1.988542   0.996348   
15.931214   16.817715   -1.980420   0.994318   
15.769970   16.778795   -1.986475   0.995783   
15.917538   16.816416   -1.990222   0.996768   
15.870651   16.801262   -1.986262   0.995778   
15.892042   16.810648   -1.988458   0.996327   
15.765829   16.780272   -1.983982   0.995208   
15.832707   16.796524   -1.983608   0.995115   
15.962787   16.885153   -1.978920   0.993943   
15.869921   16.801355   -1.981518   0.994592   
16.042582   16.912443   -1.988953   0.996451   
15.685332   16.720213   -1.982816   0.994914   
15.852263   16.798260   -1.988147   0.996250   
15.633234   16.683908   -1.987419   0.996068   
15.723708   16.756824   -1.981664   0.994629   
15.813529   16.785154   -1.982987   0.994954   
15.718692   16.728643   -1.980496   0.994327   
15.810515   16.786560   -1.983868   0.995180   
15.939218   16.848890   -1.981617   0.994617   
15.844532   16.789673   -1.984741   0.995398   
15.830345   16.788340   -1.982712   0.994891   
15.706660   16.734943   -1.976522   0.993343   
15.789704   16.783524   -1.984689   0.995366   
15.776127   16.780439   -1.984063   0.995229   
15.771326   16.751341   -1.983143   0.994999   
15.741762   16.741707   -1.981026   0.994469   
15.726519   16.736622   -1.978024   0.993719   
15.791042   16.785685   -1.987538   0.996068   
15.779258   16.782742   -1.986210   0.995765   
15.566050   16.406885   -1.979838   0.993907   
15.674366   16.689949   -1.984228   0.995270   
15.779594   16.782915   -1.990765   0.996904   
15.711931   16.727587   -1.977423   0.993521   
15.878975   16.832588   -1.986515   0.995842   
15.965783   16.883017   -1.984619   0.995365   
15.675020   16.689791   -1.985172   0.995411   
15.867607   16.803131   -1.980515   0.994342   
15.603171   16.545355   -1.979631   0.994121   
15.513269   16.390402   -1.984374   0.995306   
15.725002   16.761122   -1.980204   0.994264   
15.621270   16.548353   -1.969530   0.991531   
15.682726   16.722559   -1.981579   0.994607   
15.461427   16.375246   -1.981684   0.994634   
15.577822   16.539579   -1.980957   0.994452   
15.579320   16.539633   -1.977958   0.993702   
15.406849   16.304777   -1.990625   0.996869   
15.516294   16.396751   -1.976985   0.993459   
15.316487   16.279942   -1.981525   0.994594   
15.404013   16.304653   -1.983804   0.995164   
15.283052   16.273163   -1.973120   0.992490   
15.380654   16.286194   -1.975794   0.993161   
15.379825   16.286163   -1.980585   0.994359   
15.331486   16.278648   -1.987264   0.996029   
15.640918   16.587555   -1.980323   0.994294   
15.366802   16.287224   -1.979498   0.994087   
15.383962   16.295992   -1.976469   0.993328   
15.313496   16.277798   -1.976883   0.993414   
15.093652   16.149694   -1.977586   0.993609   
15.320799   16.278078   -1.983931   0.995196   
15.290923   16.276003   -1.983849   0.995175   
15.114783   16.161329   -1.980892   0.994436   
15.369372   16.285355   -1.973566   0.992597   
15.492758   16.359125   -1.971643   0.992123   
15.365810   16.293150   -1.990175   0.996757   
15.213274   16.247379   -1.985660   0.995575   
15.129208   16.164736   -1.983876   0.995182   
15.224356   16.248470   -1.984829   0.995420   
15.308637   16.277325   -1.984576   0.995357   
15.291346   16.276197   -1.975983   0.993209   
15.333302   16.286648   -1.989249   0.996524   
15.270561   16.263779   -1.985227   0.995520   
15.081373   16.147907   -1.985464   0.995579   
14.832393   15.771341   -1.981294   0.994536   
15.239003   16.251253   -1.979546   0.994099   
15.254896   16.260792   -1.984044   0.995224   
15.160778   16.173853   -1.987970   0.996195   
15.132383   16.171585   -1.986917   0.995941   
15.225581   16.228239   -1.967929   0.991195   
15.186114   16.179718   -1.981001   0.994463   
15.182284   16.179342   -1.978576   0.993857   
15.230718   16.228533   -1.983048   0.994975   
15.213838   16.223125   -1.981757   0.994652   
15.131289   16.155844   -1.980493   0.994336   
15.118921   16.155376   -1.983162   0.995003   
15.014425   15.895936   -1.974683   0.992883   
15.229380   16.228592   -1.978923   0.993943   
15.306423   16.308435   -1.980569   0.994355   
15.226094   16.228115   -1.983318   0.995042   
15.072434   16.026611   -1.986068   0.995730   
15.200272   16.215452   -1.975086   0.992984   
15.215459   16.216583   -1.985854   0.995676   
15.220154   16.217283   -1.975723   0.992995   
15.298826   16.278116   -1.985908   0.995690   
15.118273   16.040350   -1.978763   0.993904   
15.122195   16.040955   -1.983815   0.995167   
14.986422   15.874968   -1.977966   0.993704   
14.989315   15.875119   -1.981910   0.994690   
14.909533   15.799506   -1.985387   0.995559   
14.985624   15.874848   -1.973516   0.992592   
15.064340   15.909352   -1.973576   0.992342   
14.877880   15.786918   -1.984104   0.995239   
15.048902   15.899844   -1.985886   0.995684   
14.786460   15.765384   -1.982775   0.994907   
14.781739   15.763372   -1.983237   0.995022   
14.899709   15.797090   -1.976344   0.992933   
14.722435   15.748070   -1.986931   0.995945   
14.922274   15.801994   -1.980357   0.994302   
14.850850   15.775977   -1.971034   0.991971   
14.783186   15.764862   -1.980292   0.994264   
14.770675   15.764016   -1.983628   0.994962   
14.609072   15.672597   -1.978017   0.993716   
14.757833   15.763070   -1.980547   0.994350   
14.720306   15.748103   -1.979789   0.994159   
14.741962   15.751969   -1.980367   0.994305   
14.946633   15.845385   -1.978561   0.993853   
14.784994   15.765228   -1.981391   0.994511   
14.800444   15.768328   -1.970439   0.991822   
14.748020   15.752247   -1.979395   0.993973   
14.611959   15.648396   -1.981509   0.994590   
14.769790   15.762591   -1.982239   0.994773   
14.759788   15.761876   -1.976959   0.993452   
14.869841   15.785783   -1.988261   0.996278   
14.968795   15.841070   -1.983380   0.995058   
14.861384   15.784937   -1.983339   0.995048   
14.919637   15.801435   -1.985147   0.995499   
14.835020   15.781490   -1.988101   0.996237   
14.839816   15.781576   -1.987386   0.996059   
14.605101   15.648401   -1.984755   0.995401   
14.709176   15.735983   -1.978811   0.993915   
14.743814   15.743046   -1.986828   0.995920   
14.549579   15.513257   -1.972008   0.992215   
14.609216   15.648684   -1.978780   0.993908   
14.593850   15.636961   -1.987510   0.996090   
14.691074   15.669962   -1.973540   0.992598   
14.575723   15.635236   -1.984383   0.995308   
14.523440   15.509481   -1.983887   0.995185   
14.579484   15.635414   -1.971258   0.991978   
14.537342   15.510566   -1.975678   0.993132   
14.574491   15.633032   -1.977081   0.993483   
14.607093   15.639740   -1.983941   0.995198   
14.422880   15.328153   -1.979519   0.994043   
14.522943   15.393562   -1.973364   0.992554   
14.498403   15.381203   -1.984179   0.995250   
14.558244   15.398186   -1.982803   0.994913   
14.554721   15.398005   -1.976828   0.993420   
14.570324   15.518576   -1.984724   0.995394   
14.503753   15.381258   -1.984705   0.995325   
14.471584   15.368224   -1.981747   0.994527   
14.567016   15.400191   -1.969837   0.991672   
14.536827   15.394152   -1.987013   0.995966   
14.689689   15.669365   -1.986251   0.995776   
14.595225   15.529180   -1.984406   0.995314   
14.607932   15.531887   -1.978808   0.993915   
14.699217   15.704852   -1.981234   0.994521   
14.550670   15.397014   -1.974539   0.992565   
14.620614   15.532870   -1.989613   0.996616   
14.707063   15.736387   -1.977616   0.993617   
14.597182   15.527124   -1.985679   0.995632   
14.679505   15.700601   -1.982667   0.994879   
14.560472   15.397770   -1.977588   0.993610   
14.613921   15.531928   -1.985475   0.995581   
14.612565   15.532396   -1.992928   0.997445   
14.601392   15.531533   -1.984601   0.995363   
14.544623   15.396150   -1.987049   0.995975   
14.634877   15.575644   -1.982836   0.994904   
14.567810   15.399594   -1.979149   0.994000   
14.583447   15.519065   -1.983267   0.995030   
14.547961   15.396320   -1.984142   0.995248   
14.562736   15.397874   -1.986975   0.995957   
14.549020   15.396881   -1.979162   0.994003   
14.469553   15.344064   -1.985517   0.995592   
14.496011   15.349702   -1.979214   0.994016   
14.522071   15.360802   -1.983025   0.994969   
14.497996   15.349801   -1.989780   0.996658   
14.487174   15.346835   -1.976666   0.993379   
14.483851   15.346852   -1.988080   0.996222   
14.439495   15.296293   -1.986532   0.995846   
14.474852   15.346034   -1.979413   0.994066   
14.456805   15.333993   -1.981815   0.994667   
14.464784   15.335220   -1.979049   0.993975   
14.433560   15.297467   -1.983075   0.994982   
14.407932   15.289730   -1.982363   0.994803   
14.358033   15.277284   -1.990635   0.996872   
14.390678   15.290207   -1.980654   0.994376   
14.352748   15.276976   -1.986858   0.995927   
14.405296   15.291444   -1.983270   0.995030   
14.387906   15.290101   -1.983436   0.995072   
14.362136   15.279564   -1.974476   0.992832   
14.366383   15.280192   -1.984734   0.995396   
14.474463   15.368988   -1.972966   0.992206   
14.359771   15.277270   -1.980159   0.994253   
14.333390   15.264122   -1.978577   0.993857   
14.486632   15.371978   -1.980188   0.994260   
14.379714   15.312548   -1.986125   0.995744   
14.407731   15.323913   -1.980832   0.994421   
14.391646   15.322660   -1.984749   0.995400   
14.425208   15.330992   -1.981329   0.994545   
14.382144   15.321908   -1.982408   0.994815   
14.291632   15.259610   -1.981293   0.994536   
14.281372   15.256701   -1.976698   0.993387   
14.536994   15.396699   -1.976834   0.993421   
14.290541   15.259722   -1.988730   0.996395   
14.367728   15.303321   -1.989733   0.996646   
14.408262   15.317221   -1.979146   0.993988   
14.397150   15.316723   -1.985602   0.995613   
14.522925   15.394320   -1.988851   0.996426   
14.414502   15.327859   -1.975283   0.993033   
14.255587   15.209356   -1.982872   0.994931   
14.318568   15.261603   -1.971356   0.992052   
14.247842   15.208926   -1.993607   0.997614   
14.313575   15.261386   -1.984951   0.995451   
14.288995   15.259451   -1.982045   0.994724   
14.333840   15.265266   -1.984765   0.995404   
14.428633   15.331336   -1.982260   0.994778   
14.226030   15.232284   -1.975430   0.993070   
14.303456   15.260964   -1.974885   0.992934   
14.312201   15.261534   -1.986354   0.995801   
14.254137   15.236929   -1.984347   0.995300   
14.329115   15.270466   -1.979556   0.994102   
14.210575   15.227664   -1.983507   0.995088   
14.244184   15.236256   -1.987588   0.996110   
14.273804   15.247690   -1.985203   0.995514   
14.310242   15.269490   -1.979815   0.994166   
14.195084   15.114464   -1.978700   0.993875   
14.048318   14.893433   -1.984595   0.995361   
14.323902   15.270630   -1.988292   0.996286   
14.138482   15.070639   -1.989174   0.996506   
14.178386   15.080328   -1.984120   0.995238   
14.151667   15.071964   -1.977072   0.993481   
14.006746   14.852154   -1.981994   0.994711   
14.221201   15.127100   -1.976030   0.993220   
14.004338   14.845359   -1.980055   0.994227   
14.061400   14.928520   -1.981553   0.994601   
14.027242   14.856162   -1.985483   0.995584   
14.038809   14.893322   -1.983179   0.995008   
14.046875   14.893668   -1.976719   0.993392   
14.156841   15.065628   -1.982954   0.994951   
14.117087   15.050966   -1.988473   0.996331   
14.015540   14.886963   -1.982433   0.994821   
13.939356   14.791103   -1.973056   0.992477   
13.903096   14.782219   -1.980469   0.994330   
13.843217   14.758240   -1.980623   0.994368   
13.785836   14.748580   -1.982566   0.994854   
13.846579   14.766712   -1.982022   0.994718   
13.906386   14.784370   -1.983883   0.995069   
13.744789   14.725365   -1.986648   0.995875   
13.797533   14.752056   -1.989929   0.996695   
13.816660   14.762126   -1.983672   0.995131   
13.856633   14.769466   -1.983091   0.994986   
13.668128   14.642482   -1.973449   0.992575   
13.809560   14.753220   -1.985650   0.995625   
13.827418   14.765166   -1.982307   0.994790   
13.805982   14.752750   -1.978058   0.993727   
13.829539   14.756388   -1.981059   0.994477   
13.792743   14.751737   -1.978368   0.993805   
13.829497   14.756822   -1.986224   0.995769   
13.787690   14.751378   -1.991136   0.996997   
13.834054   14.757237   -1.974804   0.992909   
13.910626   14.819994   -1.988717   0.996382   
13.751700   14.699999   -1.988067   0.996230   
13.771997   14.713018   -1.975114   0.992773   
13.729768   14.695716   -1.979714   0.994141   
13.734664   14.698222   -1.981318   0.994542   
13.889710   14.809405   -1.982350   0.994800   
13.686239   14.644281   -1.976361   0.992937   
13.859372   14.796043   -1.980388   0.994310   
13.754261   14.700137   -1.977763   0.993654   
13.784023   14.749170   -1.979496   0.994087   
13.639131   14.635650   -1.975919   0.993193   
13.786440   14.747496   -1.980002   0.994213   
13.653637   14.638959   -1.985603   0.995614   
13.741530   14.726142   -1.988024   0.996219   
13.848865   14.767570   -1.980292   0.994286   
13.722850   14.721817   -1.977479   0.993583   
13.736087   14.725192   -1.978992   0.993878   
13.736364   14.725334   -1.983034   0.994971   
13.632166   14.530248   -1.984966   0.995454   
13.745648   14.728374   -1.975272   0.993031   
13.737908   14.727564   -1.983968   0.995203   
13.629854   14.521540   -1.971839   0.992173   
13.730749   14.724684   -1.983420   0.995068   
13.424610   14.281068   -1.974488   0.992835   
13.602372   14.516846   -1.984311   0.995291   
13.689781   14.572732   -1.987131   0.995995   
13.581123   14.503104   -1.986104   0.995739   
13.630606   14.554556   -1.986859   0.995927   
13.425232   14.281114   -1.984048   0.995225   
13.486917   14.336690   -1.978996   0.993962   
13.349254   14.250453   -1.981981   0.994708   
13.582468   14.503309   -1.976056   0.993126   
13.634436   14.563570   -1.984351   0.995301   
13.576761   14.536012   -1.980441   0.994323   
13.405272   14.268946   -1.984321   0.995293   
13.343702   14.247770   -1.978688   0.993885   
13.516388   14.350267   -1.983250   0.995025   
13.463633   14.331004   -1.987053   0.995976   
13.407217   14.277536   -1.981303   0.994539   
13.322055   14.248078   -1.984049   0.995225   
13.405791   14.277558   -1.983747   0.995149   
13.621990   14.544944   -1.982312   0.994789   
13.293644   14.243843   -1.985220   0.995518   
13.443513   14.322384   -1.982799   0.994912   
13.534971   14.385242   -1.983044   0.994972   
13.295975   14.243812   -1.977599   0.993613   
13.416576   14.280578   -1.979300   0.994038   
13.632290   14.563036   -1.986518   0.995842   
13.365690   14.263446   -1.984534   0.995346   
13.323198   14.255038   -1.981437   0.994572   
13.365750   14.265648   -1.990467   0.996830   
13.268108   14.230249   -1.985600   0.995613   
13.309622   14.245489   -1.979803   0.994164   
13.276442   14.240110   -1.986606   0.995864   
13.203626   14.173760   -1.990815   0.996917   
13.300377   14.244528   -1.980780   0.994286   
13.221359   14.212657   -1.971215   0.992017   
13.299896   14.244143   -1.987922   0.996193   
13.305245   14.244957   -1.974260   0.992777   
13.393805   14.310362   -1.980535   0.994347   
13.432409   14.318297   -1.987303   0.996039   
13.406990   14.311935   -1.986056   0.995727   
13.360941   14.298863   -1.988476   0.996332   
13.307312   14.247370   -1.980606   0.994172   
13.258216   14.236537   -1.974271   0.992781   
13.130859   14.106312   -1.981405   0.994564   
13.266545   14.202328   -1.985676   0.995632   
13.227935   14.187900   -1.987701   0.996138   
13.215425   14.182474   -1.984382   0.995308   
13.097285   14.098881   -1.983237   0.995022   
13.209012   14.181430   -1.989732   0.996646   
13.267049   14.202644   -1.984763   0.995403   
13.347171   14.286728   -1.990283   0.996783   
13.145385   14.123612   -1.988292   0.996286   
13.115179   14.111742   -1.987463   0.996079   
12.995572   13.859656   -1.980243   0.994274   
13.174665   14.133162   -1.984227   0.995270   
13.287005   14.241314   -1.983385   0.995059   
13.140439   14.123523   -1.970605   0.991864   
13.147718   14.126612   -1.989629   0.996620   
13.148067   14.126625   -1.979721   0.994143   
13.196703   14.171257   -1.982381   0.994808   
13.059784   13.897574   -1.982524   0.994844   
13.154809   14.025658   -1.985979   0.995707   
12.877973   13.756566   -1.987247   0.996025   
13.098235   14.003899   -1.977762   0.993653   
13.042287   13.886985   -1.984138   0.995247   
12.979136   13.858152   -1.976097   0.993237   
13.073109   13.992204   -1.983395   0.995061   
12.994650   13.859942   -1.979444   0.994074   
12.950422   13.817266   -1.982282   0.994783   
12.960277   13.818817   -1.987472   0.996081   
12.971866   13.819427   -1.989814   0.996665   
13.062042   13.890844   -1.984244   0.995274   
13.056980   13.888092   -1.983122   0.994603   
12.953018   13.817637   -1.987205   0.995899   
12.822214   13.737507   -1.981873   0.994681   
12.990439   13.832632   -1.984915   0.995442   
13.039065   13.886896   -1.987975   0.996206   
12.887355   13.759960   -1.990302   0.996788   
12.954016   13.824491   -1.974606   0.992864   
12.867806   13.746771   -1.982675   0.994881   
12.903429   13.770438   -1.983563   0.995104   
12.904959   13.770638   -1.975125   0.992994   
12.946105   13.814882   -1.981409   0.994565   
12.921790   13.774180   -1.977557   0.993602   
12.889174   13.766828   -1.978470   0.993582   
12.855306   13.754798   -1.981754   0.994651   
12.835757   13.741774   -1.979344   0.994049   
12.896727   13.767890   -1.986824   0.995919   
12.831345   13.740944   -1.977239   0.993523   
12.887930   13.766867   -1.983328   0.995044   
12.830024   13.747579   -1.977018   0.993467   
12.772895   13.722186   -1.989889   0.996685   
12.836176   13.748538   -1.985049   0.995475   
12.809547   13.746208   -1.974568   0.992855   
12.818333   13.746766   -1.990426   0.996819   
12.781523   13.732644   -1.982271   0.994781   
12.763051   13.721236   -1.984461   0.995327   
12.706669   13.664712   -1.983750   0.995150   
12.713098   13.665554   -1.986720   0.995893   
12.656501   13.613936   -1.976415   0.993317   
12.672591   13.619506   -1.987806   0.996164   
12.683993   13.620570   -1.982029   0.994720   
12.631206   13.591894   -1.981648   0.994625   
12.648390   13.615480   -1.979206   0.994014   
12.627891   13.591749   -1.979915   0.994191   
12.553011   13.482302   -1.975519   0.992944   
12.629743   13.594242   -1.988357   0.996300   
12.579843   13.582506   -1.985044   0.995474   
