#      O         NLL         <E>      <|M|>
3.664372   4.452076   -1.850660   0.960141   
0.919082   1.663709   -1.819177   0.951635   
1.630688   2.326029   -1.780072   0.940020   
4.291305   4.954230   -1.742962   0.926454   
6.832707   7.426381   -1.774100   0.934348   
8.982208   9.540860   -1.773133   0.932074   
9.645899   10.179762   -1.792510   0.936508   
7.310208   7.906801   -1.772522   0.935139   
4.456938   5.080166   -1.787409   0.942129   
1.809444   2.495589   -1.768369   0.937351   
0.566287   1.304948   -1.825132   0.953204   
2.581315   3.355325   -1.877233   0.967490   
4.967040   5.765709   -1.902536   0.974284   
7.271815   8.131120   -1.910222   0.976500   
9.741208   10.638732   -1.926825   0.980411   
12.244758   13.166447   -1.928003   0.981082   
14.718752   15.678632   -1.939142   0.983517   
17.187049   18.145288   -1.940868   0.984409   
19.846575   20.984200   -1.943208   0.984922   
22.374147   23.399712   -1.963863   0.990179   
25.106481   26.301983   -1.967560   0.991103   
27.824166   28.995424   -1.974810   0.992915   
-inf   31.817785   -1.979001   0.993963   
-inf   34.566673   -1.987706   0.996139   
-inf   33.495609   -1.979251   0.994025   
-inf   30.489866   -1.979353   0.993973   
26.359184   27.456909   -1.970761   0.991903   
23.437399   24.454317   -1.972641   0.992373   
20.583145   21.481466   -1.957887   0.988684   
17.767404   18.802773   -1.955272   0.988017   
14.953468   15.845210   -1.939491   0.983935   
12.231756   13.173149   -1.933561   0.982305   
9.536573   10.419429   -1.913086   0.976844   
6.924931   7.816345   -1.878529   0.967437   
4.443275   5.241591   -1.898228   0.971857   
2.113513   2.897039   -1.886635   0.969426   
0.469645   1.198786   -1.847236   0.959204   
1.617159   2.311976   -1.805928   0.946999   
3.549146   4.199712   -1.801064   0.946142   
5.259527   5.910137   -1.774848   0.936957   
6.758291   7.391011   -1.806988   0.945124   
6.550454   7.151461   -1.800047   0.942863   
5.234148   5.878312   -1.790008   0.940035   
3.966012   4.603668   -1.788957   0.942514   
2.952102   3.609515   -1.808529   0.947946   
2.020700   2.712102   -1.826461   0.952793   
1.286133   1.970515   -1.807666   0.948892   
0.636296   1.353215   -1.841714   0.958682   
0.368693   1.090927   -1.846347   0.957699   
0.515428   1.249991   -1.845739   0.959060   
0.973575   1.719148   -1.867617   0.964316   
1.505310   2.257111   -1.894679   0.972456   
1.995036   2.747978   -1.904216   0.974319   
2.506846   3.290041   -1.887390   0.970524   
3.007470   3.809634   -1.908089   0.975860   
3.479675   4.296302   -1.893906   0.971711   
3.948955   4.788553   -1.903037   0.974876   
4.341561   5.164056   -1.907977   0.975452   
4.753306   5.550643   -1.895917   0.972865   
5.179557   6.005466   -1.930626   0.981693   
5.546660   6.363904   -1.908794   0.975558   
5.862729   6.738594   -1.917639   0.978352   
6.265479   7.118284   -1.911175   0.976787   
6.529101   7.371883   -1.915978   0.977634   
6.868776   7.783272   -1.918849   0.978216   
7.131086   7.999495   -1.934026   0.982598   
7.413928   8.329755   -1.934231   0.982671   
7.743431   8.631734   -1.928895   0.981437   
8.009964   8.822564   -1.948123   0.986236   
8.329852   9.170126   -1.940537   0.984164   
8.551001   9.413716   -1.927439   0.980842   
8.773480   9.608973   -1.932890   0.982376   
9.008784   9.820460   -1.944773   0.985394   
9.309679   10.189434   -1.939421   0.983934   
9.511980   10.374774   -1.941598   0.984611   
9.756208   10.617536   -1.928165   0.980886   
9.901072   10.774367   -1.941129   0.984489   
10.075062   10.904306   -1.951498   0.987082   
10.304917   11.198736   -1.950642   0.986873   
10.451518   11.365670   -1.943889   0.985182   
10.704788   11.625698   -1.952135   0.986998   
10.671300   11.608360   -1.953723   0.987543   
10.982625   11.807893   -1.942492   0.984831   
11.107305   11.910840   -1.959400   0.989053   
11.364369   12.247432   -1.947618   0.985349   
11.440891   12.386936   -1.944629   0.985370   
11.670792   12.631755   -1.950159   0.986750   
11.800626   12.717394   -1.949765   0.986641   
11.844156   12.746922   -1.956407   0.988314   
12.071229   12.901264   -1.949721   0.986419   
12.208562   13.162886   -1.948160   0.986235   
12.242853   13.207230   -1.944626   0.985369   
12.493979   13.458220   -1.964436   0.990015   
12.496021   13.458312   -1.958059   0.988436   
12.624334   13.606412   -1.952669   0.986873   
12.646227   13.648848   -1.952726   0.987133   
12.839390   13.759834   -1.959016   0.988967   
12.826816   13.749634   -1.942339   0.984797   
13.077572   13.901510   -1.961766   0.989649   
13.139065   14.058616   -1.938778   0.983907   
13.331337   14.248858   -1.960118   0.989242   
13.315543   14.245500   -1.950151   0.986516   
13.555729   14.497614   -1.949550   0.986278   
13.600247   14.611630   -1.959943   0.989199   
13.515578   14.482235   -1.965150   0.990493   
13.832019   14.756476   -1.968658   0.991377   
13.728655   14.730780   -1.958387   0.988809   
13.870599   14.760165   -1.962651   0.989798   
13.988342   14.840842   -1.965401   0.990277   
14.108025   15.048292   -1.968105   0.991234   
14.196456   15.081828   -1.974119   0.992743   
14.253959   15.131964   -1.957486   0.988584   
14.311538   15.259107   -1.951758   0.987152   
14.410263   15.404245   -1.973289   0.992535   
14.482879   15.458586   -1.967671   0.991130   
14.548706   15.510705   -1.969600   0.991613   
14.697644   15.709473   -1.958866   0.988505   
14.738827   15.749151   -1.955708   0.988041   
14.723572   15.748125   -1.969754   0.991610   
14.760505   15.754734   -1.960165   0.989051   
15.066700   15.933266   -1.956044   0.987985   
14.969969   15.847763   -1.976569   0.993033   
15.066345   15.933412   -1.974613   0.992866   
15.140205   16.068338   -1.965060   0.990456   
15.115961   16.061846   -1.960756   0.989402   
15.276162   16.150324   -1.975158   0.993002   
15.215799   16.133932   -1.973328   0.992539   
15.311904   16.274994   -1.968197   0.991241   
15.319527   16.275391   -1.958805   0.988854   
15.608222   16.692177   -1.965526   0.990594   
15.292181   16.271809   -1.950110   0.986740   
15.465609   16.477983   -1.965730   0.990645   
15.509490   16.516062   -1.979428   0.994070   
15.696310   16.722630   -1.966398   0.990811   
15.809582   16.784216   -1.972942   0.992448   
15.679936   16.721096   -1.974682   0.992848   
15.754460   16.768223   -1.976570   0.993355   
15.831491   16.787741   -1.971921   0.992184   
16.107377   17.078581   -1.969207   0.991514   
16.045735   16.912018   -1.970258   0.991777   
15.959311   16.854259   -1.974280   0.992779   
16.055295   16.916166   -1.955329   0.988001   
16.288406   17.288462   -1.961200   0.989513   
16.200313   17.108488   -1.969119   0.991492   
16.286762   17.288427   -1.980776   0.994407   
16.283775   17.287766   -1.967199   0.990983   
16.293700   17.288696   -1.968817   0.991417   
16.454029   17.447395   -1.977702   0.993638   
16.382975   17.308376   -1.967853   0.991176   
16.442783   17.444969   -1.973389   0.992559   
16.421273   17.441599   -1.973494   0.992586   
16.456117   17.475655   -1.970740   0.991888   
16.776299   17.796192   -1.979310   0.993980   
16.647705   17.681290   -1.973008   0.992465   
16.662098   17.682180   -1.971132   0.991996   
16.711248   17.771385   -1.966092   0.990586   
16.828091   17.809095   -1.965319   0.990543   
16.771876   17.788921   -1.967390   0.990717   
16.814825   17.808804   -1.978687   0.993884   
16.914747   17.888151   -1.958875   0.988927   
16.794225   17.797640   -1.964767   0.990404   
16.901481   17.887009   -1.981150   0.994500   
